NAME,DE,EN,FR,IT
cockpit.status.laden,Statusbericht laden,Load survey report,Charger le statut du relevé,Lanciare il rapporto di stato
cockpit.status.suchen_ohne,Preise ohne Prüfstatus suchen,Search prices without check status,Rechercher des prix sans statut de validation,Cerca i prezzi senza stato di validazione
cockpit.status.update,Statusbericht aktualisieren,Update survey report,Mettre à jour le statut du relevé,Aggiornare il rapporto di stato
cockpit.status.zuweisen,Prüfstatus zuweisen,Assign check status,Attribuer le statut de validation,Assegnare lo stato di convalida
control_artikeltext,Artikeltext,Item name,Description de l'article,Descrizione dell'articolo
control_menge,Menge aktuelle Periode,Quantity current period,Quantité période actuelle,Quantità periodo attuale
control_mengeVPK,Menge Vorperiode,Quantity previous period,Quantité période précédente,Quantità periodo precedente
control_mengeVPNormalNeuerArtikel,Menge Vorperiode (neuer Artikel),Quantity previous period (new item),Quantité période précédente (nouvel article),Quantità periodo precedente (nuovo articolo)
control_mengeVorReduktion,Menge aktuelle Periode (ohne Mengenrabatt),Quantity current period (without quantity discount),Quantité période actuelle (sans rabais de quantité),Quantità periodo attuale (senza sconto sulla quantità)
control_preis,Preis aktuelle Periode,Price current period,Prix période actuelle,Prezzo periodo attuale
control_preisVPK,Preis Vorperiode,Price previous period,Prix période précédente,Prezzo periodo precedente
control_preisVPNormalNeuerArtikel,Preis Vorperiode (neuer Artikel),Price previous period (new item),Prix période précédente (nouvel article),Prezzo periodo precedente (nuovo articolo)
control_preisVorReduktion,Preis ausser Aktion,Price without reduction,Prix hors action,Prezzo non in azione
controlling.regel.0100,0100: Heizöl,"0100: Heating oil, fuels (reference day 1): completeness","0100 : Mazout, combustibles (jour de référence 1) : exhaustivité","0100: Olio di riscaldamento, combustibili (giorno di riferimento 1): completezza"
controlling.regel.0110,0110: Heizöl (Stichtag 1): Preistrend,0110: Heating oil (reference day 1): price trend,0110 : Mazout (jour de référence 1) : évolution des prix,0110: Olio combustibile (giorno di riferimento 1): tendenza dei prezzi
controlling.regel.0115,0115: Treibstoffe (Stichtag 1): Preistrend,0115: Fuels (reference day 1): price trend,0115 : Carburants (jour de référence 1) : évolution des prix,0115: Combustibili (giorno di riferimento 1): tendenza dei prezzi
controlling.regel.0116,0116: Diesel (Stichtag 1): Preistrend,0116: Diesel (reference day 1): price trend,116 : Diesel (jour de référence 1) : évolution des prix,0116: Diesel (giorno di riferimento 1): tendenza dei prezzi
controlling.regel.0117,0117: Benzin (Stichtag 1): Preistrend,0117: Gasoline (reference day 1): price trend,117 : Essence (jour de référence 1) : évolution des prix,0117: Benzina (giorno di riferimento 1): tendenza dei prezzi
controlling.regel.0120,0120: Heizöl,"0120: Heating oil, fuels (reference day 1): Level comparison by survey position","0120 : Mazout, carburants (jour de référence 1) : comparaison des niveaux selon le PE","0120: Olio di riscaldamento, combustibili (giorno di riferimento 1): confronto di livello per EP"
controlling.regel.0200,0200: Heizöl,"0200: Heating oil, fuels (reference day 2): Completeness","0200 : Mazout, carburants (jour de référence 2) : Exhaustivité","0200: Olio di riscaldamento, combustibili (giorno di riferimento 2): Completezza"
controlling.regel.0210,0210: Heizöl (Stichtag 2): Preistrend,0210: Heating oil (reference day 2): Price trend,0210 : Mazout (jour de référence 2) : Tendance des prix,0210: Olio combustibile (giorno di riferimento 2): tendenza dei prezzi
controlling.regel.0215,0215: Treibstoffe (Stichtag 2): Preistrend,0215: Fuels (reference day 2): Price trend,0215 : Carburants (jour de référence 2) : Tendance des prix,0215: Combustibili (giorno di riferimento 2): tendenza dei prezzi
controlling.regel.0216,0216: Diesel (Stichtag 1): Preistrend,0216: Diesel (reference day 1): price trend,216 : Diesel (jour de référence 1) : évolution des prix,0216: Diesel (giorno di riferimento 1): tendenza dei prezzi
controlling.regel.0217,0217: Benzin (Stichtag 1): Preistrend,0217: Gasoline (reference day 1): price trend,217 : Essence (jour de référence 1) : évolution des prix,0217: Benzina (giorno di riferimento 1): tendenza dei prezzi
controlling.regel.0220,"0220: Heizöl, Treibstoffe (Stichtag 2): Niveauvergleich nach EP","0220: Heating oil, fuels (reference day 2): Level comparison by survey position","0220 : Mazout, carburants (jour de référence 2) : comparaison des niveaux selon le PE","0220: Olio per riscaldamento, combustibili (giorno di riferimento 2): confronto dei livelli secondo EP"
controlling.regel.0230,0230: Früchte,"0230: Fruits, vegetables (week 1): completeness","0230 : Fruits, légumes (semaine 1) : Intégralité","0230: Frutta, verdura (settimana 1): completezza"
controlling.regel.0240,0240: Früchte,"0240: Fruits, vegetables (week 2): completeness","0240 : Fruits, légumes (semaine 2) : Intégralité","0240: Frutta, verdura (settimana 2): completezza"
controlling.regel.0250,0250: Früchte,"0250: Fruits, vegetables: code error (0, R, S)","0250 : Fruits, légumes : erreur de code (0, R, S)","0250: Frutta, verdura: errore di codice (0, R, S)"
controlling.regel.0300,0300: Bekleidung,"0300: Clothing, shoes: code error (7, R, S)","0300 : Vêtements, chaussures : erreur de code (7, R, S)","0300: Abbigliamento, calzature: errore di codice (7, R, S)"
controlling.regel.0310,0310: Bekleidung: gelöschte Preise (Code 0),0310: Clothing: deleted prices (code 0),0310 : Vêtements : prix supprimés (code 0),0310: Abbigliamento: prezzi cancellati (codice 0)
controlling.regel.0320,0320: Bekleidung,"0320: Clothing, footwear: replacement in sale (code 1+A)","0320 : Vêtements, chaussures : remplacement en solde (code 1+A)","0320: Abbigliamento, calzature: sostituzione nella vendita (codice 1+A)"
controlling.regel.0400,0400: Gelöschte Preise (Code 0,"0400: Deleted prices (code 0, without clothing, fruits, vegetables)","0400 : Prix supprimés (code 0, sans vêtements, fruits, légumes)","0400: Prezzi cancellati (codice 0, senza abbigliamento, frutta e verdura)"
controlling.regel.0405,0405: Fehlende Preise (Code R/S,"0405: Missing prices (code R/S, without clothing, shoes, fruits, vegetables)","0405 : Prix manquants (code R/S, sans vêtements, chaussures, fruits, légumes)","0405: Prezzi mancanti (codice R/S, senza abbigliamento, scarpe, frutta, verdura)"
controlling.regel.0410,0410: Direktersatz mit Aktion (Code 1+A,"0410: Direct replacement with action (code 1+A, without clothing, shoes, fruits, vegetables)","0410 : Remplacement direct avec action (code 1+A, sans vêtements, chaussures, fruits, légumes)","0410: Sostituzione diretta con promozione (codice 1+A, escluso abbigliamento, calzature, frutta, verdura)"
controlling.regel.0420,0420: Qualität Ersterfassung: Ersatz (Code 1,"0420: Quality initial entry: replacement (code 1, 7)","0420 : Qualité première saisie : remplacement (code 1, 7)","0420: Inserimento iniziale della qualità: sostituzione (codice 1, 7)"
controlling.regel.0430,0430: Direktersatz Prüfung: Neue Artikel (Code 1 statt 0,"0430: Direct replacement check: new articles (code 1 instead of 0, 2, 3 possible?)","0430 : Contrôle du remplacement direct : nouveaux articles (code 1 au lieu de 0, 2, 3 possible ?)","0430: Controllo sostituzione diretta: nuovi articoli (codice 1 invece di 0, 2, 3 possibile?)"
controlling.regel.0440,0440: Qualität Ersterfassung: Neue Artikel (Code 2,"0440: Quality initial entry: New articles (code 2, 3)","0440 : Qualité saisie initiale : nouveaux articles (code 2, 3)","0440: Inserimento iniziale della qualità: nuovi articoli (codice 2, 3)"
controlling.regel.0450,0450: Geänderter Artikeltext ohne Ersatzcode,0450: Changed article text without replacement code,0450 : Texte d'article modifié sans code de remplacement,0450: Cambiato il testo dell'articolo senza codice di sostituzione
controlling.regel.0500,0500: Ausreisser (-75%/+250%),0500: Outlier (-75%/+250%),0500 : Données aberrantes (-75%/+250%),0500: Outlier (-75%/+250%)
controlling.regel.0510,0510: Preisentwicklung auffällig: Normalpreise,0510: Price change abnormal: normal prices,0510 : Evolution de prix anormale : prix normaux,0510: Sviluppo dei prezzi cospicuo: prezzi normali
controlling.regel.0520,0520: Preisentwicklung auffällig: Ersatz (Code 1,"0520: Price change abnormal: replacement (code 1, 7)","0520 : Evolution de prix anormale : remplacement (code 1, 7)","0520: Sviluppo del prezzo cospicuo: sostituzione (codice 1, 7)"
controlling.regel.0530,0530: Preisentwicklung auffällig: extreme Aktionen,0530: Price change abnormal: extreme promotions,0530 : Evolution de prix anormale : actions extrêmes,0530: Sviluppo dei prezzi cospicuo: promozioni estreme
controlling.regel.0540,0540: Preisentwicklung auffällig: steigende Aktionspreise,0540: Price change conspicuous: increasing promotion prices,0540 : Evolution de prix anormale : prix promotionnels en hausse,0540: Sviluppo dei prezzi cospicuo: aumento dei prezzi di promozione
controlling.regel.0550,0550: PMS mit unveränderten Preisen,0550: PMS with unchanged prices,0550 : PMS avec prix inchangés,0550: PMS con prezzi invariati
controlling.regel.0600,0600: Bemerkungen ans BFS,0600: Remarks to BFS,0600 : Remarques à l'OFS,0600: Osservazioni all'UST
controlling.regel.0700,0700: Preise/EP: Abweichung von Vorgabe (gemäss ES),0700: Prices/EP: deviation from target (according to ES),0700 : Prix/EP : écart par rapport à la consigne (selon ES),0700: Prezzi/EP: Deviazione dall'obiettivo (secondo ES)
controlling.regel.0810,0810: Ungeprüfte Preismeldungen,0810: Unchecked prices,0810 : Prix non vérifiées,0810: Prezzi non controllati
controlling.regel.0820,0820: Blockierte Preismeldungen,0820: Blocked prices,0820 : Prix bloquées,0820: Prezzi bloccati
controlling.regel.0830,0830: Geprüfte Preismeldungen für Export,0830: Checked prices for export,0830 : Prix vérifiées pour l'exportation,0830: Prezzi verificati per l'esportazione
controlling.regel.0840,0840: Exportierte Preismeldungen,0840: Exported prices,0840 : Prix exportées,0840: prezzi
dialog.editierung.dateieingabe_geht_nicht_verloren,(Dateineingabe bleibt bestehen),(data is retained),(les données sont conservées),(i dati sono conservati)
dialog.editierung.dateieingabe_geht_verloren,(Dateneingabe geht verloren),(data will be discarded),(les données sont rejetées),(i dati vengono scartati)
dialog.editierung.ungespeicherte_daten_vorhanden,Noch nicht gespeicherte Daten vorhanden!,Data that has not yet been saved is available!,Données non-enregistrées disponibles!,I dati non ancora salvati sono disponibili!
dialog.editierung.verwerfen_text,Auf «Änderungen verwerfen» klicken um diese Ansicht zu verlassen,Click on «Discard changes» to exit this view,Cliquez sur «Annuler les modifications» pour quitter cette vue,Fare clic su «Annulla modifiche» per uscire da questa visualizzazione
dialog.editierung.weiter_bearbeiten,Weiter bearbeiten,Continue editing,Continuer l'édition,Continua a modificare
dialog.editierung.weiter_bearbeiten_text,Auf «Weiter bearbeiten» klicken um bei dieser Ansicht zu bleiben,"Click on ""Continue editing"" to stay with this view",Cliquez sur «Continuer l'édition» pour rester avec cette vue,"Fai clic su ""Continua a modificare"" per rimanere con questa visualizzazione"
dialog.loeschen.bestaetigung,Wollen Sie diesen Eintrag wirklich löschen?,Are you sure you want to delete this entity?,Êtes-vous sûr de vouloir supprimer cet enregistrement ?,Sei sicuro di voler eliminare questa entità?
dialog.login.titel,Bitte Einloggen,Please log in,Veuillez vous connecter (login),Esegui il login
dialog.login.zu_den_einstellungen,Einstellungen bearbeiten,Edit settings,Paramètres,Modificare impostazioni
dialog.statuswechsel.betroffene_pm_angezeigten,Dies betrifft alle angezeigten Preismeldungen,This affects all displayed prices that have been released by the price collectors.,Cela affecte tous les prix affichés qui ont été téléchargés par les enquêteurs.,Ciò influisce su tutti i prezzi visualizzati e rilasciati dal collettore di prezzi.
dialog.statuswechsel.betroffene_pm_markiert,Dies betrifft alle markierten Preismeldungen,This affects all marked prices that are released by the price collector.,Cela affecte tous les prix marqués qui ont été téléchargés par les enquêteurs.,Ciò influisce su tutti i prezzi contrassegnati e rilasciati dal collettore dei prezzi.
dialog.statuswechsel.nur_zum_marker,Nur bis zu der Markierung?,Only up to the marked line?,Seulement jusqu'à la ligne sélectionnée ?,Solo fino alla linea segnata?
dialog.statuswechsel.status_waehlen,Wählen Sie den neuen Status,Choose the new status,Choisissez le nouveau statut,Scegli il nuovo stato
dialogText_abnormal-preisentwicklung,Grosse Preisveränderungen/-differenzen. Stimmen die eingegebenen Preise und Mengen?,Change out of range! Are prices and quantities correct?,Variation importante ! Le prix et la quantité sont-ils corrects ?,Variazione importante! Sono corretti i prezzi e le quantità?
dialogText_aktion-message-preis-hoeher,Artikel teurer als in Vorperiode. Ist der Artikel wirklich in Aktion?,Item price higher than last period. Is item still on sale this month?,Article plus cher que lors de la période précédente. Le prix est-il vraiment en action ?,Articolo più caro rispetto al periodo precedente. È effettivamente in azione?
dialogText_aktueller-aktionspreis-gleich-groesser-vp-normalpreis,Aktueller Aktionspreis ist gleich oder grösser als Normalpreis in VP. Stimmt der erfasste Preis?,Today's reduced price is greater than or equal to the normal price of previous period. Is price correct?,Le prix actuel en action est supérieur/égal au prix normal de la période précédente. Le prix enregistré est-il correct ?,Prezzo scontato attuale più uguale o più elevato rispetto al periodo precedente. È corretto il prezzo rilevato?
dialogText_aufforderung-ersatzsuche,In der EP sind nur {{numActivePrices}}/{{anzahlPreiseProPMS}} Artikel erfasst. Wollen Sie ein neues Produkt erfassen?,Only {{numActivePrices}}/{{anzahlPreiseProPMS}} items recorded in this position. Would you like to record a new item?,Seuls {{numActivePrices}}/{{anzahlPreiseProPMS}} articles sont enregistrés dans cette EP. Voulez-vous relever un nouvel article ?,Nella varietà sono rilevati solo {{numActivePrices}}/{{anzahlPreiseProPMS}} articoli. Vuole aggiungere un articolo?
dialogText_ausreichend-artikel,Es sind bereits ausreichend Artikel in der EP erfasst. Wollen Sie dennoch ein neues Produkt erfassen?,Already enough items of this type recorded. Would you like to add a new item nevertheless?,Le nombre d'articles dans cette EP est suffisant. Voulez-vous vraiment relever un article supplémentaire ?,Nella varietà sono già rilevati abbastanza prodotti. Vuole comunque rilevare un articolo in più?
dialogText_needs-stichtag,Bitte Stichdatum festlegen,Please set date of collection,Veuillez préciser la date de relevé,Si prega di specificare la data del rilievo
dialogText_pdf-create-error,PDF konnte nicht erstellt werden.,PDF couldn't be created.,PDF ERROR,PDF ERROR
dialogText_pdf-preparing-data,PDF wird vorbereitet.,PDF being created.,PDF en préparation.,PDF in preparazione.
dialogText_pdf-saved-at-application,PDF wurde unter Applikationsdokumenten abgelegt: Eigene Dateien -> Interner Speicher > Android > data > io.ionic.starter.,"PDF successfully saved in Application folder,  Files -> Internal > Android > data > io.ionic.starter.",PDF enregistré sous documents de l'application: Documents -> Internal > Android > data > io.ionic.starter.,PDF registrato nella cartella Documenti dell'applicazione:
dialogText_pdf-saved-at-documents,PDF wurde unter Dokumente abgelegt.,PDF successfully saved in Documents.,PDF enregistré sous documents.,PDF registrato in Documenti.
dialogText_rrr-message-mit-aufforderung-zu-produktersatz,Dieser Artikel fehlt schon länger. Gibt es ein vergleichbares Ersatzprodukt?,Item missing for a while. Is there a similar product to replace it?,Cet article manque depuis longtemps. Y a-t-il un article semblable disponible pour un remplacement ?,Questo articolo manca da qualche mese. Esiste un articolo paragonabile per sostituirlo?
dialogText_unveraendert-pm-text,Ist der Artikeltext/die Artikelnummer wirklich unverändert zum Vorgängerprodukt?,Are new item's name and number really unchanged to former item?,Description/numéro d'article : vraiment identique au mois précédent ?,La descrizione dell'articolo/il numero dell'articolo sono effettivamente gli stessi rispetto al prodotto precedente?
dialogText_vp_aktionspreis-gleich-hoeher-aktueller-normalpreis,Aktionspreis der VP war gleich oder grösser als aktueller Normalpreis. Ist der aktuelle Preis ein Aktionspreis?,Reduced price of previous period equal to or higher than current normal price. Is product still on sale?,Le prix en action de la période précédente est supérieur/égal au prix normal actuel. Le prix actuel est-il en action ?,Il prezzo scontato del periodo precedente era lo stesso o più elevato rispetto al prezzo attuale.  Il prezzo attuale è scontato?
electron.app.invalid-state-text,Der App-Zustand wurde nicht erkannt:,The given app state was not recognized:,L'état de l'application donné n'a pas été reconnu:,Lo stato dell'app dato non è stato riconosciuto:
electron.app.invalid-state-title,Ungültiger App Zustand,Invalid app state,État de l'application invalide,Stato dell'app non valido
electron.quit.unsaved,Es sind noch nicht gespeicherte Änderungen vorhanden. Wollen Sie diese speichern?,There are still some unsaved changes. would you like to save them?,Il y a encore des modifications non enregistrées. Voulez-vous les enregistrer?,Ci sono ancora alcune modifiche non salvate. Vuoi salvarle?
electron.quit.unsaved-unable-to-save,Es sind noch nicht gespeicherte Änderungen vorhanden. Da Sie keine Schreibberechtigung haben,There are still some unsaved changes. But there is no write permission. Do you want to close the app anyway?,Il y a encore des modifications non enregistrées. Mais il n'y a pas de permission d'écriture. Voulez-vous fermer l'application quand même?,Ci sono ancora alcune modifiche non salvate. Ma non c'è alcuna autorizzazione di scrittura. Vuoi chiudere l'app comunque?
error_incompatible_version,Sie sind entweder offline oder die von Ihnen verwendete App-Version ist nicht mit aktueller Server-Version kompatibel. Bitte kontaktieren Sie den Administrator.,You are either offline or the app version you are using is not compatible with current server version. Please contact the administrator.,Vous êtes hors ligne ou la version de l'application que vous utilisez n'est pas compatible avec la version actuelle du serveur. Veuillez contacter l'administrateur.,Siete offline o la versione dell'app che state utilizzando non è compatibile con la versione attuale del server. Si prega di contattare l'amministratore.
error_login-wrong-credentials,Benutzername und Password stimmen nicht überein.,User name and password do not match.,Le nom d'utilsateur et/ou le mot de passe n'est pas correct.,Il nome utente e la password non corrispondono.
error_request_unauthorized,Kein gültiges Login vorhanden. Login ist eventuell abgelaufen.,No valid login found. Login has probably expired.,Login pas valable. Login probablement expiré. ,Il login non è valido. È probabilmente scaduto.
error_synchronize_unknown-error,Ein unbekannter Fehler ist während der Synchronisierung aufgetreten. Bitte versuchen Sie es später erneut oder kontaktieren Sie den Administrator.,Unknown error while synchronizing. Please try again later or contact the administrator.,Une erreur inconnue a eu lieu lors de la synchronisation. Veuillez réessayer ultérieurement ou contacter l'administrateur. ,Si è verificato un errore sconosciuto durante la sincronizzazione. Riprovi più tardi o contatti l'amministratore.
error_user-db-id-mismatch,Datenbank ID's stimmen nicht überein. Bitte Admin kontaktieren.,Mismatch User-DB-ID. Please contact admin.,Problème d'identification (User-DB-ID). Veuillez contacter l'administrateur.,Errore di autenticazione (User-DB-ID). Si prega di contattare l'amministratore.
exceptions.datei.konnte_nicht_gelesenen_werden,Die Datei konnte nicht eingelesen werden.,The file could not be read in.,Le fichier n'a pas pu être importé.,Il file non può essere letto.
exceptions.export.kein_export_pfad,Es wurde kein Exportpfad ausgewählt,No export path was selected,Aucun chemin d'exportation n'a été sélectionné.,Non è stato selezionato alcun percorso di esportazione
exceptions.export.keine_abgebuchte_pm,Keine neu abgebuchte Preismeldungen vorhanden.,"No new, validated price available.",Aucun prix nouvellement vérifié n'est disponible.,Nessun nuovo prezzo controllato disponibile.
exceptions.export.keine_daten,Keine exportierbaren Daten vorliegend.,No new validated price available.,Aucune donnée disponible pour l'exportation.,Nessun dato disponibile per l'esportazione
exceptions.export.keine_pms,Keine Preismeldestellen vorhanden.,No outlets available.,Aucun point de vente disponible.,Nessuna presa disponibile.
exceptions.export.pfad_existiert_nicht,Der angegebene Export-Pfad existiert nicht: {{ path }},The specified export path does not exist: {{ path }},Le chemin d'exportation indiqué n'existe pas : {{ path }}.,Il percorso di esportazione specificato non esiste: {{ path }}
exceptions.import.pms,Preismeldestellen Import Fehler (Zeile #{{ line }}),Outlets import error (line #{ line }}),Erreur d'importation de point de vente (ligne #{{ line }}),Errore di importazione dei punti di vendita (linea #{ line }})
exceptions.import.warenkorb,Warenkorb Import Fehler (Zeile #{{ line }}),Basket import error (line #{ line }}),Erreur d'importation du panier (ligne #{ line }}),Errore nell'importazione del paniere (linea #{ line }})
exceptions.no_write_permission,Dieser Client ist nicht berechtigt Anpassungen an der Datenbank zu tätigen.,This client is not authorized to make adjustments to the database.,Ce client n'est pas autorisé à faire des adaptations à la base de données.,Questo cliente non è autorizzato ad apportare modifiche al database.
export.anzahl_exporte,{{ count }} Preismeldungen wurden exportiert,{{ count }} Prices were exported,{{ count }} Les prix ont été exportés,{{ count }} I prezzi sono stati esportati
export.keine_erhebungsorgannummer,Es ist noch keine Erhebungsorgannummer bei den Einstellungen gesetzt worden.,Survey organization number is missing (settings),Numéro Institut d'enquête manquant (paramètres),Numero di istituti d'indagine mancanti (impostazioni)
export.pe_export,Preiserheber Export,Export: price collector,Exportation : Enquêteurs,Esportazione: collettori
export.pm_export,Preismeldungen Export,Export: prices,Exportation : Prix,Esportazione: prezzi
export.pms_export,Preismeldestellen Export,Export: outlet list,Exportation : Points de vente,Esportazione: punti di vendita
export.starten,Export starten,Start Export,Lancer l'exportation,Avvia esportazione
export.titel,Export,Export,Exportation,Esportazione
export.debugmode,Debug Export,Debug Export,Debug Export,Debug Export
export.debugmode.activate,Debug Export anzeigen,Show debug export,Afficher l'exportation de débug,Mostra l'esportazione di debug
export.all_pm,Alle Preismeldungen exportieren,Export all prices,Exporter toutes les prix,Esportazione di tutti prezzi
heading_aktuelle_periode,Aktuelle Periode,Current period,Période actuelle,Periodo attuale
heading_artikel,Artikel,Item,Article,Articolo
heading_artikel-ausser-aktion,Artikel ausser Aktion,Item without reduction,Article hors action,Articolo non scontato
heading_artikel-neu,Artikel neu,New item,Nouvel article,Nuovo articolo
heading_artikel-vor-reduktion,Artikel vor Reduktion,Item before reduction,Article avant réduction,Articolo prima dello sconto
heading_bearbeitungscode-auswaehlen,Bearbeitungscode auswählen,Choose treatment code,Choisir le code de traitement,Scegliere un codice di trattamento
heading_choose-preismeldestelle,Erhebung,Survey,Enquête,Rilevazione
heading_danger-zone,Bestehende Erhebungsdaten löschen,Danger zone,Étape dangereuse !,Zona pericolosa
heading_information-about-preismeldung,Information zur Preismeldung,Information about price,Information sur l'article,Informazione sul prezzo
heading_information-about-warenkorbposition,Information zur Erhebungsposition (EP),Information about variety,Information sur la position (EP),Informazione sulla varietà
heading_kommentar-zum-aktuellen-monat,Kommentar zum aktuellen Monat,Comment about current month,Commentaire sur le mois actuel,Commento per il mese attuale
heading_kommunikation,Fragen und Antworten,Questions and answers,Questions et réponses,Domande e risposte
heading_login,Anmeldung,Login,Connexion,Login
heading_manage-preismeldestelle,Preismeldungen,Prices,Prix,Prezzi
heading_meine-notiz,Meine Notiz,My notes,Mes notes,I miei appunti
heading_pms-details,Angaben zur Preismeldestelle,Information about store,Informations sur le point de vente,Informazioni sul punto vendita
heading_pms-sort,Reihenfolge der Artikelliste,Order of items,Ordre de la liste d'article,Ordine della lista degli articoli
heading_preismeldestelle,Preismeldestelle,Store,Point de vente,Punto vendita
heading_preismeldung-attributes,Produkteigenschaften,Item features,Caractéristiques du produit,Caratteristiche del prodotto
heading_validation-error,Validierungsfehler,Validation error,Erreur de validation,Errore di validazione
heading_vorperiode,Vorperiode,Previous period,Période précédente,Periodo precedente
heading_warenkorb_neu_preisreihe_hinzufügen,Neue Preisreihe hinzufügen,Add new price series,Ajouter une série de prix,Aggiungere nuova serie di prezzo
import.anzahl_erfolgreich,{{ count }} Einträge wurden hinzugefügt,{{ count }} entries were added,{{ count }}  entrées ont été ajoutées,Sono state aggiunte {{ count }} voci
import.pm_erfolgreich,Preismeldungen wurden erfolgreich importiert,Prices were imported successfully,Les prix ont été importés avec succès,I prezzi sono stati importati con successo
import.pm_import,Preismeldungen Import,Import: prices,Importation : Prix,Importazione : prezzi
import.pms_erfolgreich,Preismeldestellen wurden erfolgreich importiert,Outlets have been imported successfully,Les points de ventes ont été importés avec succès,Gli punti di vendita sono stati importati con successo
import.pms_import,Preismeldestellen import,Import: outlet list,Importation : Points de vente,Importazione : punti di vendita
import.titel,Import,Import,Importation,Importazione
import.uebersicht.aktueller_monat,Aktueller Erhebungsmonat: {{ date }},Current survey month: {{ date }},Mois de l'enquête en cours : {{ date }},Mese del rilevamento attuale: {{ date }}
import.uebersicht.importieren,Importieren,Import,Importation,Importazione
import.uebersicht.letzter_import,Zuletzt importiert am: {{ date }},Last imported on: {{ date }},Dernière importation le : {{ date }},Ultima importazione il: {{ date }}
import.wk_erfolgreich,Warenkorb wurde erfolgreich importiert,Survey basket was successfully imported,Le schéma de relevé a été importé avec succès,Il schema di rilevamento è stato importato con successo
import.wk_import,Erhebungsschema Import,Import: survey basket,Importation : Schéma de relevé,Importazione : Schema di rilevamento
installed-software-version,Installierte Software-Version,Installed software version,Version du programme installé,Versione software installata
kommentar-autotext_abnormale-preisentwicklung-bestaetigt,Abnormale Preisentwicklung bestätigt.,Abnormal price change confirmed.,Variation de prix anormale confirmée.,Variazione del prezzo anomale confirmata.
